xpos,yvalue
7,14.566131208402933
10,15.311372730706267
19,19.039476118585327
22,19.23810180025258
32,19.89070289619868
36,20.030254391576953
60,21.781135926423225
63,21.89392428643326
65,21.95110701263763
68,22.172719102922986
71,22.247254147955864
73,22.285304635276482
94,23.7115889531535
100,23.89356337153292
121,25.678687872940714
125,25.753197193573136
133,25.90231429202828
134,25.931556344240928
140,26.07333681897526
143,26.137911351551423
173,27.79673897464951
177,27.973640539559014
181,28.164683560313307
188,28.567279661559404
189,28.611473629451236
191,28.63696367477602
192,28.662905858186612
193,28.717238513836456
217,30.05761644619239
218,30.07714197495265
235,30.86358556800792
240,31.073179836853857
